Review queue: bodensee (top 30)

Format: Name | Type | Candidate | Open | Issue

Yachthafen Wassersport-Gemeinschaft Konstanz-Egg | harbor | https://www.wg-egg.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-node-2136074828-yachthafen-wassersport-gemeinschaft-konstanz-egg#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Yachthafen+Wassersport-Gemeinschaft+Konstanz-Egg&body=Type%3A+harbor%0AID%3A+osm-node-2136074828-yachthafen-wassersport-gemeinschaft-konstanz-egg%0AName%3A+Yachthafen+Wassersport-Gemeinschaft+Konstanz-Egg%0ACountry%3A+%0ACoords%3A+47.6951413%2C+9.1959919%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.wg-egg.de%2F%0A
Wassersportverein Friedrichshafen-Fischbach e.V. | harbor | https://www.wvfischbach.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-127496891-wassersportverein-friedrichshafen-fischbach-e-v#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Wassersportverein+Friedrichshafen-Fischbach+e.V.&body=Type%3A+harbor%0AID%3A+osm-way-127496891-wassersportverein-friedrichshafen-fischbach-e-v%0AName%3A+Wassersportverein+Friedrichshafen-Fischbach+e.V.%0ACountry%3A+%0ACoords%3A+47.6677305%2C+9.4095755%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.wvfischbach.de%2F%0A
DSMC Deutsch Schweizerischer Motorboot Club | harbor | http://www.dsmc.de | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-node-1784645818-dsmc-deutsch-schweizerischer-motorboot-club#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+DSMC+Deutsch+Schweizerischer+Motorboot+Club&body=Type%3A+harbor%0AID%3A+osm-node-1784645818-dsmc-deutsch-schweizerischer-motorboot-club%0AName%3A+DSMC+Deutsch+Schweizerischer+Motorboot+Club%0ACountry%3A+%0ACoords%3A+47.6587115%2C+9.1793125%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.dsmc.de%0A
Motorboot-Segelsportverein Schwedenschanze | harbor | https://www.mbsv.at/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-937387065-motorboot-segelsportverein-schwedenschanze#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Motorboot-Segelsportverein+Schwedenschanze&body=Type%3A+harbor%0AID%3A+osm-way-937387065-motorboot-segelsportverein-schwedenschanze%0AName%3A+Motorboot-Segelsportverein+Schwedenschanze%0ACountry%3A+%0ACoords%3A+47.491342%2C+9.6648571%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.mbsv.at%2F%0A
Yachthafen Haltnau - Yacht-Club Meersburg | harbor | https://www.yachtclub-meersburg.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-127497728-yachthafen-haltnau-yacht-club-meersburg#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Yachthafen+Haltnau+-+Yacht-Club+Meersburg&body=Type%3A+harbor%0AID%3A+osm-way-127497728-yachthafen-haltnau-yacht-club-meersburg%0AName%3A+Yachthafen+Haltnau+-+Yacht-Club+Meersburg%0ACountry%3A+%0ACoords%3A+47.6829776%2C+9.2895072%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.yachtclub-meersburg.de%2F%0A
Segelclub Trieblings Immenstadt - SCTI | harbor | http://www.scti.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-node-2116185184-segelclub-trieblings-immenstadt-scti#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Segelclub+Trieblings+Immenstadt+-+SCTI&body=Type%3A+harbor%0AID%3A+osm-node-2116185184-segelclub-trieblings-immenstadt-scti%0AName%3A+Segelclub+Trieblings+Immenstadt+-+SCTI%0ACountry%3A+%0ACoords%3A+47.5777647%2C+10.1810902%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.scti.de%2F%0A
Städtischer Seglerhafen "Waschplätzle" | harbor | http://www.skipperguide.de/wiki/Meersburg | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-93183658-st%C3%A4dtischer-seglerhafen-waschpl%C3%A4tzle#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+St%C3%A4dtischer+Seglerhafen+%22Waschpl%C3%A4tzle%22&body=Type%3A+harbor%0AID%3A+osm-way-93183658-st%C3%A4dtischer-seglerhafen-waschpl%C3%A4tzle%0AName%3A+St%C3%A4dtischer+Seglerhafen+%22Waschpl%C3%A4tzle%22%0ACountry%3A+%0ACoords%3A+47.687073%2C+9.2831615%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.skipperguide.de%2Fwiki%2FMeersburg%0A
Ultramarin, die Meichle + Mohr Marina | harbor | https://www.ultramarin.com/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-127496902-ultramarin-die-meichle-mohr-marina#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Ultramarin%2C+die+Meichle+%2B+Mohr+Marina&body=Type%3A+harbor%0AID%3A+osm-way-127496902-ultramarin-die-meichle-mohr-marina%0AName%3A+Ultramarin%2C+die+Meichle+%2B+Mohr+Marina%0ACountry%3A+%0ACoords%3A+47.5878016%2C+9.5590222%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.ultramarin.com%2F%0A
Bodensee-Yacht-Club Überlingen BYCÜ | harbor | https://www.bycue.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-92873407-bodensee-yacht-club-%C3%BCberlingen-byc%C3%BC#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bodensee-Yacht-Club+%C3%9Cberlingen+BYC%C3%9C&body=Type%3A+harbor%0AID%3A+osm-way-92873407-bodensee-yacht-club-%C3%BCberlingen-byc%C3%BC%0AName%3A+Bodensee-Yacht-Club+%C3%9Cberlingen+BYC%C3%9C%0ACountry%3A+%0ACoords%3A+47.7632296%2C+9.1653393%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.bycue.de%2F%0A
Gemeindehafen Höchst Fischerinsel | harbor | http://www.wassersportfreunde-fischerinsel.at | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-127418885-gemeindehafen-h%C3%B6chst-fischerinsel#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Gemeindehafen+H%C3%B6chst+Fischerinsel&body=Type%3A+harbor%0AID%3A+osm-way-127418885-gemeindehafen-h%C3%B6chst-fischerinsel%0AName%3A+Gemeindehafen+H%C3%B6chst+Fischerinsel%0ACountry%3A+%0ACoords%3A+47.4884935%2C+9.6036829%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.wassersportfreunde-fischerinsel.at%0A
Bootshafen Seegarten Kreuzlingen | harbor | https://www.svk-kreuzlingen.ch/Startseite/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-127418867-bootshafen-seegarten-kreuzlingen#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootshafen+Seegarten+Kreuzlingen&body=Type%3A+harbor%0AID%3A+osm-way-127418867-bootshafen-seegarten-kreuzlingen%0AName%3A+Bootshafen+Seegarten+Kreuzlingen%0ACountry%3A+%0ACoords%3A+47.648023%2C+9.1941994%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.svk-kreuzlingen.ch%2FStartseite%2F%0A
Bodan-Werft Freizeit und Hafen | harbor | https://www.bodan-fuh.com/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-way-128382838-bodan-werft-freizeit-und-hafen#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bodan-Werft+Freizeit+und+Hafen&body=Type%3A+harbor%0AID%3A+osm-way-128382838-bodan-werft-freizeit-und-hafen%0AName%3A+Bodan-Werft+Freizeit+und+Hafen%0ACountry%3A+%0ACoords%3A+47.5875231%2C+9.5905198%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.bodan-fuh.com%2F%0A
Segelhafen TSG Lindau - Zech | harbor | https://www.tsg-wassersport.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-node-1314526554-segelhafen-tsg-lindau-zech#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Segelhafen+TSG+Lindau+-+Zech&body=Type%3A+harbor%0AID%3A+osm-node-1314526554-segelhafen-tsg-lindau-zech%0AName%3A+Segelhafen+TSG+Lindau+-+Zech%0ACountry%3A+%0ACoords%3A+47.5343583%2C+9.7295562%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.tsg-wassersport.de%2F%0A
Wassersportschule Oberallgäu | harbor | https://www.wassersportschule-oberallgaeu.de/ | https://phailipp.github.io/bodensee-segler-site/?lake=bodensee&open=harbor:osm-node-2116185191-wassersportschule-oberallg%C3%A4u#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Wassersportschule+Oberallg%C3%A4u&body=Type%3A+harbor%0AID%3A+osm-node-2116185191-wassersportschule-oberallg%C3%A4u%0AName%3A+Wassersportschule+Oberallg%C3%A4u%0ACountry%3A+%0ACoords%3A+47.5705742%2C+10.1910554%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.wassersportschule-oberallgaeu.de%2F%0A
