Review queue: genfersee (top 30)

Format: Name | Type | Candidate | Open | Issue

Port de la Baie de l'Église | harbor | https://www.morges.ch/vivre-a-morges/loisirs/ports/port-de-la-baie-de-l-eglise-8614 | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-way-296762158-port-de-la-baie-de-l-glise#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+la+Baie+de+l%27%C3%89glise&body=Type%3A+harbor%0AID%3A+osm-way-296762158-port-de-la-baie-de-l-glise%0AName%3A+Port+de+la+Baie+de+l%27%C3%89glise%0ACountry%3A+%0ACoords%3A+46.5112281%2C+6.5015315%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.morges.ch%2Fvivre-a-morges%2Floisirs%2Fports%2Fport-de-la-baie-de-l-eglise-8614%0A
Port de Plaisance de Sciez | harbor | http://port-de-sciez.com/ | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-way-298856883-port-de-plaisance-de-sciez#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+Plaisance+de+Sciez&body=Type%3A+harbor%0AID%3A+osm-way-298856883-port-de-plaisance-de-sciez%0AName%3A+Port+de+Plaisance+de+Sciez%0ACountry%3A+%0ACoords%3A+46.3407694%2C+6.3887553%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fport-de-sciez.com%2F%0A
Port de Plaisance de Rives | harbor | https://www.ville-thonon.fr/annuaire/10/97-port-de-plaisance-de-rives-et-sa-capitainerie.htm | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-relation-13753798-port-de-plaisance-de-rives#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+Plaisance+de+Rives&body=Type%3A+harbor%0AID%3A+osm-relation-13753798-port-de-plaisance-de-rives%0AName%3A+Port+de+Plaisance+de+Rives%0ACountry%3A+%0ACoords%3A+46.3773258%2C+6.4786857%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.ville-thonon.fr%2Fannuaire%2F10%2F97-port-de-plaisance-de-rives-et-sa-capitainerie.htm%0A
Port de Plaisance d'Yvoire | harbor | https://espace-plaisancier.fr/yvoire | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-relation-13767405-port-de-plaisance-d-yvoire#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+Plaisance+d%27Yvoire&body=Type%3A+harbor%0AID%3A+osm-relation-13767405-port-de-plaisance-d-yvoire%0AName%3A+Port+de+Plaisance+d%27Yvoire%0ACountry%3A+%0ACoords%3A+46.3702884%2C+6.3225681%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fespace-plaisancier.fr%2Fyvoire%0A
Port de La Tour-de-Peilz | harbor | https://www.la-tour-de-peilz.ch/administration/cpages.php?id_page_b=30 | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-way-286986333-port-de-la-tour-de-peilz#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+La+Tour-de-Peilz&body=Type%3A+harbor%0AID%3A+osm-way-286986333-port-de-la-tour-de-peilz%0AName%3A+Port+de+La+Tour-de-Peilz%0ACountry%3A+%0ACoords%3A+46.4512436%2C+6.8562924%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.la-tour-de-peilz.ch%2Fadministration%2Fcpages.php%3Fid_page_b%3D30%0A
Port de Amphion-Publier | harbor | https://www.ville-publier.fr/mairie/port.htm | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-way-305943726-port-de-amphion-publier#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+Amphion-Publier&body=Type%3A+harbor%0AID%3A+osm-way-305943726-port-de-amphion-publier%0AName%3A+Port+de+Amphion-Publier%0ACountry%3A+%0ACoords%3A+46.3962343%2C+6.5391084%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.ville-publier.fr%2Fmairie%2Fport.htm%0A
Port du Clos de Chillon | harbor | https://veytaux.ch/port-du-clos-de-chillon | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-way-954069244-port-du-clos-de-chillon#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+du+Clos+de+Chillon&body=Type%3A+harbor%0AID%3A+osm-way-954069244-port-du-clos-de-chillon%0AName%3A+Port+du+Clos+de+Chillon%0ACountry%3A+%0ACoords%3A+46.4189934%2C+6.9262287%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fveytaux.ch%2Fport-du-clos-de-chillon%0A
Port de la Pichette-Est | harbor | http://www.port-pichette-est.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-relation-2194474-port-de-la-pichette-est#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+de+la+Pichette-Est&body=Type%3A+harbor%0AID%3A+osm-relation-2194474-port-de-la-pichette-est%0AName%3A+Port+de+la+Pichette-Est%0ACountry%3A+%0ACoords%3A+46.4696457%2C+6.8128436%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.port-pichette-est.ch%2F%0A
Port Lugrin-Tourronde | harbor | https://www.mairie-lugrin.fr/index.php/2015-01-26-08-42-35/tourisme/plan-de-la-ville/joomlannuaire/fiche/72-port-de-lugrin/4-infrastructures-municipales | https://phailipp.github.io/bodensee-segler-site/?lake=genfersee&open=harbor:osm-way-299128154-port-lugrin-tourronde#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Port+Lugrin-Tourronde&body=Type%3A+harbor%0AID%3A+osm-way-299128154-port-lugrin-tourronde%0AName%3A+Port+Lugrin-Tourronde%0ACountry%3A+%0ACoords%3A+46.4047493%2C+6.6604278%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.mairie-lugrin.fr%2Findex.php%2F2015-01-26-08-42-35%2Ftourisme%2Fplan-de-la-ville%2Fjoomlannuaire%2Ffiche%2F72-port-de-lugrin%2F4-infrastructures-municipales%0A
