Review queue: lago-maggiore (top 30)

Format: Name | Type | Candidate | Open | Issue

Porto turistico comunale di Feriolo di Baveno | harbor | http://portolago.com/SpondaPiemontese/Feriolo/Porti/PontiliGalleggianti.html | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-1198896322-porto-turistico-comunale-di-feriolo-di-baveno#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Porto+turistico+comunale+di+Feriolo+di+Baveno&body=Type%3A+harbor%0AID%3A+osm-way-1198896322-porto-turistico-comunale-di-feriolo-di-baveno%0AName%3A+Porto+turistico+comunale+di+Feriolo+di+Baveno%0ACountry%3A+%0ACoords%3A+45.92821%2C+8.4812472%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fportolago.com%2FSpondaPiemontese%2FFeriolo%2FPorti%2FPontiliGalleggianti.html%0A
Vecchio porto comunale di Porto Valtravaglia | harbor | http://www.portolago.com/SpondaLombarda/PortoValtravaglia/Porti/DescrizionePorto.html | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-1198052119-vecchio-porto-comunale-di-porto-valtravaglia#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Vecchio+porto+comunale+di+Porto+Valtravaglia&body=Type%3A+harbor%0AID%3A+osm-way-1198052119-vecchio-porto-comunale-di-porto-valtravaglia%0AName%3A+Vecchio+porto+comunale+di+Porto+Valtravaglia%0ACountry%3A+%0ACoords%3A+45.9614597%2C+8.6799787%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.portolago.com%2FSpondaLombarda%2FPortoValtravaglia%2FPorti%2FDescrizionePorto.html%0A
Nuovo porto turistico di Porto Valtravaglia | harbor | http://www.portolago.com/SpondaLombarda/PortoValtravaglia/Porti/DescrizionePorto.html | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-1432286296-nuovo-porto-turistico-di-porto-valtravaglia#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Nuovo+porto+turistico+di+Porto+Valtravaglia&body=Type%3A+harbor%0AID%3A+osm-way-1432286296-nuovo-porto-turistico-di-porto-valtravaglia%0AName%3A+Nuovo+porto+turistico+di+Porto+Valtravaglia%0ACountry%3A+%0ACoords%3A+45.9614507%2C+8.6795416%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.portolago.com%2FSpondaLombarda%2FPortoValtravaglia%2FPorti%2FDescrizionePorto.html%0A
Porto comunale di Laveno Mombello | harbor | http://portolago.com/SpondaLombarda/Laveno/Porti/DescrizionePorti.htm | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-289227894-porto-comunale-di-laveno-mombello#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Porto+comunale+di+Laveno+Mombello&body=Type%3A+harbor%0AID%3A+osm-way-289227894-porto-comunale-di-laveno-mombello%0AName%3A+Porto+comunale+di+Laveno+Mombello%0ACountry%3A+%0ACoords%3A+45.9098015%2C+8.6189332%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fportolago.com%2FSpondaLombarda%2FLaveno%2FPorti%2FDescrizionePorti.htm%0A
Porto comunale di Verbania Intra | harbor | http://portolago.com/SpondaPiemontese/Intra/Porti/DescrizionePorto.html | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-1135790031-porto-comunale-di-verbania-intra#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Porto+comunale+di+Verbania+Intra&body=Type%3A+harbor%0AID%3A+osm-way-1135790031-porto-comunale-di-verbania-intra%0AName%3A+Porto+comunale+di+Verbania+Intra%0ACountry%3A+%0ACoords%3A+45.9344295%2C+8.5741258%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fportolago.com%2FSpondaPiemontese%2FIntra%2FPorti%2FDescrizionePorto.html%0A
Centro Nautico Di Domenico SA | harbor | https://www.didomenico.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-node-10035932670-centro-nautico-di-domenico-sa#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Centro+Nautico+Di+Domenico+SA&body=Type%3A+harbor%0AID%3A+osm-node-10035932670-centro-nautico-di-domenico-sa%0AName%3A+Centro+Nautico+Di+Domenico+SA%0ACountry%3A+%0ACoords%3A+46.1559497%2C+8.80382%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.didomenico.ch%2F%0A
Porto Comunale Vedo-Arbostora | harbor | https://www.morcote.ch/index.php?node=337&lng=1&rif=e4624a1800 | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-271854672-porto-comunale-vedo-arbostora#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Porto+Comunale+Vedo-Arbostora&body=Type%3A+harbor%0AID%3A+osm-way-271854672-porto-comunale-vedo-arbostora%0AName%3A+Porto+Comunale+Vedo-Arbostora%0ACountry%3A+%0ACoords%3A+45.93063%2C+8.9010346%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.morcote.ch%2Findex.php%3Fnode%3D337%26lng%3D1%26rif%3De4624a1800%0A
Circolo Velico Lago di Lugano | harbor | https://cvll.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-way-339011844-circolo-velico-lago-di-lugano#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Circolo+Velico+Lago+di+Lugano&body=Type%3A+harbor%0AID%3A+osm-way-339011844-circolo-velico-lago-di-lugano%0AName%3A+Circolo+Velico+Lago+di+Lugano%0ACountry%3A+%0ACoords%3A+46.0024454%2C+8.9628748%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fcvll.ch%2F%0A
Porto Regionale di Locarno | harbor | http://www.portolocarno.com | https://phailipp.github.io/bodensee-segler-site/?lake=lago-maggiore&open=harbor:osm-node-10035932668-porto-regionale-di-locarno#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Porto+Regionale+di+Locarno&body=Type%3A+harbor%0AID%3A+osm-node-10035932668-porto-regionale-di-locarno%0AName%3A+Porto+Regionale+di+Locarno%0ACountry%3A+%0ACoords%3A+46.1662529%2C+8.8044691%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.portolocarno.com%0A
