Review queue: thunersee (top 30)

Format: Name | Type | Candidate | Open | Issue

Bootvermietung Thunersee | rental | https://bootvermietungthunersee.ch/reservation/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=rental:osm-node-8762345630-bootvermietung-thunersee#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootvermietung+Thunersee&body=Type%3A+rental%0AID%3A+osm-node-8762345630-bootvermietung-thunersee%0AName%3A+Bootvermietung+Thunersee%0ACountry%3A+%0ACoords%3A+46.7403816%2C+7.6308952%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fbootvermietungthunersee.ch%2Freservation%2F%0A
Honu SUP Center | rental | https://www.honu.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=rental:osm-node-8763945584-honu-sup-center#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Honu+SUP+Center&body=Type%3A+rental%0AID%3A+osm-node-8763945584-honu-sup-center%0AName%3A+Honu+SUP+Center%0ACountry%3A+%0ACoords%3A+46.7382419%2C+7.6318818%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.honu.ch%2F%0A
Restaurant Golfclub Interlaken | gastro | https://www.interlakengolf.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-4912753321-restaurant-golfclub-interlaken#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Restaurant+Golfclub+Interlaken&body=Type%3A+gastro%0AID%3A+osm-node-4912753321-restaurant-golfclub-interlaken%0AName%3A+Restaurant+Golfclub+Interlaken%0ACountry%3A+%0ACoords%3A+46.6780048%2C+7.8192897%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.interlakengolf.ch%2F%0A
Seebistro Thunersee | gastro | https://www.seebistrothun.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-826090564-seebistro-thunersee#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Seebistro+Thunersee&body=Type%3A+gastro%0AID%3A+osm-node-826090564-seebistro-thunersee%0AName%3A+Seebistro+Thunersee%0ACountry%3A+%0ACoords%3A+46.7274126%2C+7.6277687%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.seebistrothun.ch%2F%0A
Orangerie Piano Bar | gastro | https://www.beatus.ch | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-6766535820-orangerie-piano-bar#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Orangerie+Piano+Bar&body=Type%3A+gastro%0AID%3A+osm-node-6766535820-orangerie-piano-bar%0AName%3A+Orangerie+Piano+Bar%0ACountry%3A+%0ACoords%3A+46.6963708%2C+7.7374311%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.beatus.ch%0A
Restaurant BelAir | gastro | https://www.beatus.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-6766535819-restaurant-belair#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Restaurant+BelAir&body=Type%3A+gastro%0AID%3A+osm-node-6766535819-restaurant-belair%0AName%3A+Restaurant+BelAir%0ACountry%3A+%0ACoords%3A+46.6963141%2C+7.7374745%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.beatus.ch%2F%0A
Bistro Promenade | gastro | https://www.bistro-promenade.ch | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-12875153800-bistro-promenade#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bistro+Promenade&body=Type%3A+gastro%0AID%3A+osm-node-12875153800-bistro-promenade%0AName%3A+Bistro+Promenade%0ACountry%3A+%0ACoords%3A+46.754008%2C+7.6366381%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.bistro-promenade.ch%0A
Strandbad Thun | gastro | https://www.strandbadthun.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-1346658181-strandbad-thun#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Strandbad+Thun&body=Type%3A+gastro%0AID%3A+osm-node-1346658181-strandbad-thun%0AName%3A+Strandbad+Thun%0ACountry%3A+%0ACoords%3A+46.7397391%2C+7.6314961%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.strandbadthun.ch%2F%0A
Freds Garten | gastro | https://www.fredsgarten.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=thunersee&open=gastro:osm-node-8757857241-freds-garten#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Freds+Garten&body=Type%3A+gastro%0AID%3A+osm-node-8757857241-freds-garten%0AName%3A+Freds+Garten%0ACountry%3A+%0ACoords%3A+46.7466029%2C+7.634732%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.fredsgarten.ch%2F%0A
