Review queue: vierwaldstaettersee (top 30)

Format: Name | Type | Candidate | Open | Issue

Genossenschaft Bootshafen Flüelen | harbor | https://www.bootshafen-fluelen.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-2146366561-genossenschaft-bootshafen-fl%C3%BCelen#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Genossenschaft+Bootshafen+Fl%C3%BCelen&body=Type%3A+harbor%0AID%3A+osm-node-2146366561-genossenschaft-bootshafen-fl%C3%BCelen%0AName%3A+Genossenschaft+Bootshafen+Fl%C3%BCelen%0ACountry%3A+%0ACoords%3A+46.9025503%2C+8.6226509%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.bootshafen-fluelen.ch%2F%0A
Gemeindebootshafen Hergiswil | harbor | https://www.bootshafen-hergiswil.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-1587149289-gemeindebootshafen-hergiswil#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Gemeindebootshafen+Hergiswil&body=Type%3A+harbor%0AID%3A+osm-node-1587149289-gemeindebootshafen-hergiswil%0AName%3A+Gemeindebootshafen+Hergiswil%0ACountry%3A+%0ACoords%3A+46.9803412%2C+8.3130287%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.bootshafen-hergiswil.ch%2F%0A
Bootshafen Hostatt Kehrsiten | harbor | https://www.bootshafenkehrsiten.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-way-1284714428-bootshafen-hostatt-kehrsiten#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootshafen+Hostatt+Kehrsiten&body=Type%3A+harbor%0AID%3A+osm-way-1284714428-bootshafen-hostatt-kehrsiten%0AName%3A+Bootshafen+Hostatt+Kehrsiten%0ACountry%3A+%0ACoords%3A+47.003431%2C+8.3709288%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.bootshafenkehrsiten.ch%2F%0A
Marina Fallenbach Brunnen | harbor | https://www.marina-fallenbach.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-1838168777-marina-fallenbach-brunnen#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Marina+Fallenbach+Brunnen&body=Type%3A+harbor%0AID%3A+osm-node-1838168777-marina-fallenbach-brunnen%0AName%3A+Marina+Fallenbach+Brunnen%0ACountry%3A+%0ACoords%3A+47.0002415%2C+8.5799459%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.marina-fallenbach.ch%2F%0A
Bootshafen Tribschenhorn | harbor | https://bootshafen-luzern.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-1485039266-bootshafen-tribschenhorn#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootshafen+Tribschenhorn&body=Type%3A+harbor%0AID%3A+osm-node-1485039266-bootshafen-tribschenhorn%0AName%3A+Bootshafen+Tribschenhorn%0ACountry%3A+%0ACoords%3A+47.04323%2C+8.3256957%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fbootshafen-luzern.ch%2F%0A
Motorboothafen Luzern | harbor | https://bootshafen-luzern.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-1939897970-motorboothafen-luzern#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Motorboothafen+Luzern&body=Type%3A+harbor%0AID%3A+osm-node-1939897970-motorboothafen-luzern%0AName%3A+Motorboothafen+Luzern%0ACountry%3A+%0ACoords%3A+47.0472632%2C+8.3188914%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fbootshafen-luzern.ch%2F%0A
Bootshafen Stansstad | harbor | https://www.stansstad.ch/de/tourismus/gemeindebootshafen/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-way-406517074-bootshafen-stansstad#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootshafen+Stansstad&body=Type%3A+harbor%0AID%3A+osm-way-406517074-bootshafen-stansstad%0AName%3A+Bootshafen+Stansstad%0ACountry%3A+%0ACoords%3A+46.9796378%2C+8.3353424%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.stansstad.ch%2Fde%2Ftourismus%2Fgemeindebootshafen%2F%0A
Bootshafen Rütenen | harbor | https://bootshafen.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-1912141554-bootshafen-r%C3%BCtenen#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootshafen+R%C3%BCtenen&body=Type%3A+harbor%0AID%3A+osm-node-1912141554-bootshafen-r%C3%BCtenen%0AName%3A+Bootshafen+R%C3%BCtenen%0ACountry%3A+%0ACoords%3A+46.9627382%2C+8.5051442%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fbootshafen.ch%2F%0A
Bootshafen Vitznau | harbor | https://www.vitznau.ch/xml_1/internet/de/application/d15/f345.cfm | https://phailipp.github.io/bodensee-segler-site/?lake=vierwaldstaettersee&open=harbor:osm-node-2146366559-bootshafen-vitznau#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootshafen+Vitznau&body=Type%3A+harbor%0AID%3A+osm-node-2146366559-bootshafen-vitznau%0AName%3A+Bootshafen+Vitznau%0ACountry%3A+%0ACoords%3A+47.013663%2C+8.4811291%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.vitznau.ch%2Fxml_1%2Finternet%2Fde%2Fapplication%2Fd15%2Ff345.cfm%0A
