Review queue: zuerichsee (top 30)

Format: Name | Type | Candidate | Open | Issue

Hafen Rietliau | harbor | https://www.hafengenossenschaft-waedenswil.ch | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=harbor:osm-way-98633716-hafen-rietliau#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Hafen+Rietliau&body=Type%3A+harbor%0AID%3A+osm-way-98633716-hafen-rietliau%0AName%3A+Hafen+Rietliau%0ACountry%3A+%0ACoords%3A+47.2379425%2C+8.661606%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.hafengenossenschaft-waedenswil.ch%0A
Wollishofen | harbor | http://www.yachthafen.ch | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=harbor:osm-node-1854708269-wollishofen#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Wollishofen&body=Type%3A+harbor%0AID%3A+osm-node-1854708269-wollishofen%0AName%3A+Wollishofen%0ACountry%3A+%0ACoords%3A+47.339586%2C+8.5397758%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.yachthafen.ch%0A
Pedalo- und Ruderbootvermietung Richterswil | rental | https://www.vvrs.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-node-4952465430-pedalo-und-ruderbootvermietung-richterswil#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Pedalo-+und+Ruderbootvermietung+Richterswil&body=Type%3A+rental%0AID%3A+osm-node-4952465430-pedalo-und-ruderbootvermietung-richterswil%0AName%3A+Pedalo-+und+Ruderbootvermietung+Richterswil%0ACountry%3A+%0ACoords%3A+47.2104417%2C+8.7060183%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.vvrs.ch%2F%0A
Bootsvermietung am Pfäffikersee | rental | https://www.booti.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-node-11292495102-bootsvermietung-am-pf%C3%A4ffikersee#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootsvermietung+am+Pf%C3%A4ffikersee&body=Type%3A+rental%0AID%3A+osm-node-11292495102-bootsvermietung-am-pf%C3%A4ffikersee%0AName%3A+Bootsvermietung+am+Pf%C3%A4ffikersee%0ACountry%3A+%0ACoords%3A+47.3645352%2C+8.781493%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.booti.ch%2F%0A
Pedalo Vermietung Ceccotorenas | rental | https://www.ceccotorenas.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-node-383931354-pedalo-vermietung-ceccotorenas#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Pedalo+Vermietung+Ceccotorenas&body=Type%3A+rental%0AID%3A+osm-node-383931354-pedalo-vermietung-ceccotorenas%0AName%3A+Pedalo+Vermietung+Ceccotorenas%0ACountry%3A+%0ACoords%3A+47.2389928%2C+8.7175744%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.ceccotorenas.ch%2F%0A
Bootsvermietung Rytz+Kreuzer | rental | https://bootsvermietung-seefeld.ch/pedalo/ | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-node-4950969614-bootsvermietung-rytz-kreuzer#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootsvermietung+Rytz%2BKreuzer&body=Type%3A+rental%0AID%3A+osm-node-4950969614-bootsvermietung-rytz-kreuzer%0AName%3A+Bootsvermietung+Rytz%2BKreuzer%0ACountry%3A+%0ACoords%3A+47.360624%2C+8.5471234%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fbootsvermietung-seefeld.ch%2Fpedalo%2F%0A
Bootsvermietung Enge | rental | http://www.bootsvermietung-zuerich.ch | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-node-4961249010-bootsvermietung-enge#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bootsvermietung+Enge&body=Type%3A+rental%0AID%3A+osm-node-4961249010-bootsvermietung-enge%0AName%3A+Bootsvermietung+Enge%0ACountry%3A+%0ACoords%3A+47.3613066%2C+8.5362801%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+http%3A%2F%2Fwww.bootsvermietung-zuerich.ch%0A
Badi Feldbach | rental | https://www.badifeldbach.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-node-4961460153-badi-feldbach#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Badi+Feldbach&body=Type%3A+rental%0AID%3A+osm-node-4961460153-badi-feldbach%0AName%3A+Badi+Feldbach%0ACountry%3A+%0ACoords%3A+47.2355411%2C+8.7889674%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.badifeldbach.ch%2F%0A
Pier 7 | rental | https://www.pier7.ch/Charter-mit-Skipper/ | https://phailipp.github.io/bodensee-segler-site/?lake=zuerichsee&open=rental:osm-way-38098979-pier-7#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Pier+7&body=Type%3A+rental%0AID%3A+osm-way-38098979-pier-7%0AName%3A+Pier+7%0ACountry%3A+%0ACoords%3A+47.3677716%2C+8.5435613%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.pier7.ch%2FCharter-mit-Skipper%2F%0A
