Review queue: zugersee (top 30)

Format: Name | Type | Candidate | Open | Issue

WAR | rental | https://war.ch/service#vermietung | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=rental:osm-node-13015128894-war#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+WAR&body=Type%3A+rental%0AID%3A+osm-node-13015128894-war%0AName%3A+WAR%0ACountry%3A+%0ACoords%3A+47.0792281%2C+8.4393104%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwar.ch%2Fservice%23vermietung%0A
Hafenrestaurant | gastro | https://www.hafenrestaurant.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-391015242-hafenrestaurant#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Hafenrestaurant&body=Type%3A+gastro%0AID%3A+osm-node-391015242-hafenrestaurant%0AName%3A+Hafenrestaurant%0ACountry%3A+%0ACoords%3A+47.1727745%2C+8.5046063%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.hafenrestaurant.ch%2F%0A
Brandenberg | gastro | https://www.brandenberg.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-way-317289167-brandenberg#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Brandenberg&body=Type%3A+gastro%0AID%3A+osm-way-317289167-brandenberg%0AName%3A+Brandenberg%0ACountry%3A+%0ACoords%3A+47.1747231%2C+8.506112%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.brandenberg.ch%2F%0A
Quai Pasa | gastro | https://www.quai-pasa.ch/ | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-8003883998-quai-pasa#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Quai+Pasa&body=Type%3A+gastro%0AID%3A+osm-node-8003883998-quai-pasa%0AName%3A+Quai+Pasa%0ACountry%3A+%0ACoords%3A+47.1714328%2C+8.5109231%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+https%3A%2F%2Fwww.quai-pasa.ch%2F%0A
Schwyzerhof Bar | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-12698821315-schwyzerhof-bar#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Schwyzerhof+Bar&body=Type%3A+gastro%0AID%3A+osm-node-12698821315-schwyzerhof-bar%0AName%3A+Schwyzerhof+Bar%0ACountry%3A+%0ACoords%3A+47.0823611%2C+8.4382391%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
Min Kang Yuan | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-1411264447-min-kang-yuan#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Min+Kang+Yuan&body=Type%3A+gastro%0AID%3A+osm-node-1411264447-min-kang-yuan%0AName%3A+Min+Kang+Yuan%0ACountry%3A+%0ACoords%3A+47.0816773%2C+8.4332823%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
B70 Music Bar | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-11807005399-b70-music-bar#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+B70+Music+Bar&body=Type%3A+gastro%0AID%3A+osm-node-11807005399-b70-music-bar%0AName%3A+B70+Music+Bar%0ACountry%3A+%0ACoords%3A+47.0834933%2C+8.4334882%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
Cafe Plaza | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-6466432327-cafe-plaza#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Cafe+Plaza&body=Type%3A+gastro%0AID%3A+osm-node-6466432327-cafe-plaza%0AName%3A+Cafe+Plaza%0ACountry%3A+%0ACoords%3A+47.0829485%2C+8.4376904%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
Podium 41 | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-391015244-podium-41#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Podium+41&body=Type%3A+gastro%0AID%3A+osm-node-391015244-podium-41%0AName%3A+Podium+41%0ACountry%3A+%0ACoords%3A+47.1731574%2C+8.506438%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
Würlitzer | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-4877012129-w%C3%BCrlitzer#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+W%C3%BCrlitzer&body=Type%3A+gastro%0AID%3A+osm-node-4877012129-w%C3%BCrlitzer%0AName%3A+W%C3%BCrlitzer%0ACountry%3A+%0ACoords%3A+47.0827646%2C+8.4375582%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
Bahnhöfli | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-node-7792137002-bahnh%C3%B6fli#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Bahnh%C3%B6fli&body=Type%3A+gastro%0AID%3A+osm-node-7792137002-bahnh%C3%B6fli%0AName%3A+Bahnh%C3%B6fli%0ACountry%3A+%0ACoords%3A+47.0831264%2C+8.4352381%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
Da Nino | gastro | (none) | https://phailipp.github.io/bodensee-segler-site/?lake=zugersee&open=gastro:osm-way-385368424-da-nino#karte | https://github.com/Phailipp/bodensee-segler-site/issues/new?title=Add+source%3A+Da+Nino&body=Type%3A+gastro%0AID%3A+osm-way-385368424-da-nino%0AName%3A+Da+Nino%0ACountry%3A+%0ACoords%3A+47.0840221%2C+8.4358417%0A%0AOfficial+source+link%3A%0A-+%0A%0ALast+verified+%28YYYY-MM-DD%29%3A%0A-+%0A%0ACandidate+URL+%28found%2C+not+verified%29%3A%0A-+%0A
